Table S1.1 Metadata of cyanobacteria whole genomes sampled from temperate and cold-freezing environments,,,,,,,,,,
accession,organism_name,country,isolation_source,genome_size,cell_type,gc_percentage,check_m_completeness,check_m_contamination,salt_fresh,temp_cat
GCA_025128055.1,Synechococcus sp. CS-1329,Canada: Northwest Territories; Eastern Beaufort Sea,freshwater,2580734,single,67.18708708,99.46,0.27,fresh,cold-freezing
GCA_025128075.1,Synechococcus sp. CS-1327,Antarctica: South Shetland Islands; Midge Lake,freshwater,2806576,single,65.20664325,99.46,0.54,fresh,cold-freezing
GCA_025128095.1,Synechococcus sp. CS-1328,Canada: Northwest Territories; Eastern Beaufort Sea,freshwater,3186583,single,65.9964294,97.28,1.09,fresh,cold-freezing
GCA_025128115.1,Synechococcus sp. CS-1326,Antarctica: South Shetland Islands; Limnopolar Lake,freshwater,2829179,single,65.22553009,99.46,0.54,fresh,cold-freezing
GCA_025128135.1,Synechococcus sp. CS-1325,Antarctica: South Shetland Islands; Laguna Chica,freshwater,2861124,single,65.37420259,98.91,0,fresh,cold-freezing
GCA_025128155.1,Synechococcus sp. CS-1324,Antarctica: South Shetland Islands; Chester Cone Lake,freshwater,2638426,single,65.47142122,99.46,0.27,fresh,cold-freezing
GCA_025128175.1,Synechococcus sp. CS-602,Antarctica: Pendant Lake; Long Peninsula; Vestfold Hills,Saline Meromictic Lake,2566774,single,64.23378139,99.73,0.54,salt,cold-freezing
GCA_025128195.1,Synechococcus sp. CS-603,Antarctica: Lake Abraxis; Long Peninsula; Vestfold Hills,Saline Meromictic Lake,2554202,single,64.19186893,100,0.82,salt,cold-freezing
GCA_025128215.1,Synechococcus sp. CS-197,Atlantic Ocean: Sargasso Sea,Marine,2285510,single,60.32036613,97.83,0,salt,temperate
GCA_025128225.1,Synechococcus sp. CS-601,Antarctica: Ace Lake; Long Peninsula; Vestfold Hills,Saline Meromictic Lake,2602400,single,64.21768368,99.73,0,salt,cold-freezing
GCA_025128255.1,Synechococcus sp. CS-205,United Kingdom: Menai Strait; North Wales,Marine,2360644,single,66.8900944,97.28,0.14,salt,cold-freezing
